                                       prof_name                                           Range  Range Instances  Avg Range Lvl  Proj Avg (ms)  Proj Med (ms)  Proj Min (ms)  Proj Max (ms)  Proj StdDev (ms)
31      bench-107-olmoe-ep-naive_symm-step_55-80                                        :fw.Attn              208            3.0           10.7           10.7           10.6           11.1               0.1
32      bench-107-olmoe-ep-naive_symm-step_55-80                                         :fw.MoE              208            3.0           40.5           40.4           39.6           42.8               0.6
33      bench-107-olmoe-ep-naive_symm-step_55-80                                    :dispatch.fw              208            4.0           10.5           10.3            9.8           13.0               0.6
34      bench-107-olmoe-ep-naive_symm-step_55-80                                     :combine.fw              208            4.0           33.5           33.4           33.0           34.1               0.2
35      bench-107-olmoe-ep-naive_symm-step_55-80                                     :experts.fw              208            4.0           15.4           15.4           15.2           15.7               0.1
36      bench-107-olmoe-ep-naive_symm-step_55-80                                 :fw.a2a_combine              208            6.0           29.2           29.2           28.7           29.8               0.2
37      bench-107-olmoe-ep-naive_symm-step_55-80                                :fw.a2a_dispatch              208            6.0            8.4            8.2            7.7           10.9               0.6
38     bench-108-olmoe-ep-pooled-symm-step_55-80      :ep=pooled_symm @ olmoe-1b-7b @ step_55-80              208            0.0          186.1          186.1          184.1          187.7               0.1
39     bench-108-olmoe-ep-pooled-symm-step_55-80                                    :tr-backward              208            1.0          114.9          114.9          113.7          116.1               0.5
40     bench-108-olmoe-ep-pooled-symm-step_55-80                                    :tr-optimize              208            1.0            2.3            2.3            2.3            2.4               0.0
41     bench-108-olmoe-ep-pooled-symm-step_55-80                                     :tr-forward              208            1.0           67.7           67.7           66.3           68.8               0.5
42     bench-108-olmoe-ep-pooled-symm-step_55-80                                        :tr-data              208            1.0            0.4            0.3            0.3            0.6               0.1
43     bench-108-olmoe-ep-pooled-symm-step_55-80                                 :bw.a2a_combine              208            2.0            9.2            9.2            8.1           10.6               0.5
44     bench-108-olmoe-ep-pooled-symm-step_55-80                                :bw.a2a_dispatch              208            2.0            8.3            8.2            8.0            8.8               0.2
45     bench-108-olmoe-ep-pooled-symm-step_55-80                                         :fw.MoE              208            3.0           40.6           40.6           39.7           41.8               0.4
46     bench-108-olmoe-ep-pooled-symm-step_55-80                                        :fw.Attn              208            3.0           10.7           10.7           10.5           11.1               0.1
47     bench-108-olmoe-ep-pooled-symm-step_55-80                                    :dispatch.fw              208            4.0           10.4           10.4            9.7           11.3               0.3
48     bench-108-olmoe-ep-pooled-symm-step_55-80                                     :experts.fw              208            4.0           15.4           15.4           15.2           15.7               0.1
49     bench-108-olmoe-ep-pooled-symm-step_55-80                                     :combine.fw              208            4.0           12.7           12.7           12.2           13.3               0.3
50     bench-108-olmoe-ep-pooled-symm-step_55-80                                :fw.a2a_dispatch              208            6.0            8.3            8.3            7.7            9.2               0.3
51     bench-108-olmoe-ep-pooled-symm-step_55-80                                 :fw.a2a_combine              208            6.0            8.5            8.4            8.0            9.1               0.3
52   bench-109-olmoe-ep-zerocopy-symm-step_55-80    :ep=zerocopy_symm @ olmoe-1b-7b @ step_55-80              208            0.0          179.9          179.8          178.2          182.1               0.1
53   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                    :tr-backward              208            1.0          112.2          112.3          111.0          113.2               0.4
54   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                    :tr-optimize              208            1.0            2.3            2.3            2.3            2.4               0.0
55   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                     :tr-forward              208            1.0           64.3           64.2           63.5           67.5               0.5
56   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                        :tr-data              208            1.0            0.3            0.3            0.3            0.5               0.0
57   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                 :bw.a2a_combine              208            2.0            7.6            7.6            6.7            8.8               0.4
58   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                :bw.a2a_dispatch              208            2.0            6.7            6.7            6.3            7.2               0.2
59   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                         :fw.MoE              208            3.0           37.2           37.2           36.5           40.9               0.5
60   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                        :fw.Attn              208            3.0           10.8           10.8           10.5           11.2               0.2
61   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                    :dispatch.fw              208            4.0            8.9            8.9            8.4           12.7               0.5
62   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                     :experts.fw              208            4.0           15.4           15.4           15.2           15.7               0.1
63   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                     :combine.fw              208            4.0           10.7           10.7           10.5           11.1               0.1
64   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                :fw.a2a_dispatch              208            6.0            6.9            6.8            6.3           10.5               0.5
65   bench-109-olmoe-ep-zerocopy-symm-step_55-80                                 :fw.a2a_combine              208            6.0            6.5            6.5            6.2            6.8               0.1
66            bench-200-qwen3-dp-only-step_28-53          :ep=local @ qwen3-30b-a3b @ step_28-53              208            0.0          279.7          279.8          275.2          286.1               0.2
67            bench-200-qwen3-dp-only-step_28-53                                    :tr-backward              208            1.0          145.7          144.9          141.1          153.1               2.9
68            bench-200-qwen3-dp-only-step_28-53                                     :tr-forward              208            1.0           52.3           52.2           50.9           54.0               0.6
69            bench-200-qwen3-dp-only-step_28-53                                    :tr-optimize              208            1.0           80.8           80.9           80.2           81.2               0.2
70            bench-200-qwen3-dp-only-step_28-53                                        :tr-data              208            1.0            0.3            0.2            0.2            0.7               0.1
71            bench-200-qwen3-dp-only-step_28-53                                         :fw.MoE              208            3.0           45.1           45.1           44.2           46.5               0.4
72            bench-200-qwen3-dp-only-step_28-53                                        :fw.Attn              208            3.0            2.5            2.5            2.4            2.7               0.0
73            bench-200-qwen3-dp-only-step_28-53                                     :experts.fw              208            4.0           40.6           40.6           39.7           41.9               0.4
74            bench-200-qwen3-dp-only-step_28-53                                    :dispatch.fw              208            4.0            1.3            1.2            1.2            1.5               0.1
75            bench-200-qwen3-dp-only-step_28-53                                     :combine.fw              208            4.0            2.2            2.2            2.1            2.3               0.0
76       bench-205-qwen3-ep-host-nccl-step_28-53      :ep=host_nccl @ qwen3-30b-a3b @ step_28-53              208            0.0          198.0          198.0          194.2          201.0               0.1
77       bench-205-qwen3-ep-host-nccl-step_28-53                                    :tr-backward              208            1.0          120.5          120.5          117.7          122.6               0.9
78       bench-205-qwen3-ep-host-nccl-step_28-53                                    :tr-optimize              208            1.0           11.5           11.5           11.2           11.7               0.1
79       bench-205-qwen3-ep-host-nccl-step_28-53                                     :tr-forward              208            1.0           65.1           64.7           63.1           68.6               1.1
80       bench-205-qwen3-ep-host-nccl-step_28-53                                        :tr-data              208            1.0            0.3            0.3            0.2            0.8               0.1
81       bench-205-qwen3-ep-host-nccl-step_28-53                                :bw.a2a_dispatch              208            2.0            4.4            4.3            2.8            6.7               0.9
82       bench-205-qwen3-ep-host-nccl-step_28-53                                 :bw.a2a_combine              208            2.0            4.1            4.0            2.9            5.8               0.7
83       bench-205-qwen3-ep-host-nccl-step_28-53                                         :fw.MoE              208            3.0           57.5           57.2           55.7           61.1               1.0
84       bench-205-qwen3-ep-host-nccl-step_28-53                                        :fw.Attn              208            3.0            2.8            2.8            2.4            3.3               0.1
85       bench-205-qwen3-ep-host-nccl-step_28-53                                    :dispatch.fw              208            4.0            7.0            7.0            6.1            8.4               0.4
86       bench-205-qwen3-ep-host-nccl-step_28-53                                     :experts.fw              208            4.0           42.2           42.1           41.0           46.6               0.7
87       bench-205-qwen3-ep-host-nccl-step_28-53                                     :combine.fw              208            4.0            7.3            7.1            5.7           11.1               1.0
88       bench-205-qwen3-ep-host-nccl-step_28-53                                :fw.a2a_dispatch              208            6.0            3.9            3.9            3.2            4.6               0.3
89       bench-205-qwen3-ep-host-nccl-step_28-53                                 :fw.a2a_combine              208            6.0            4.3            4.1            2.7            8.2               1.0
90      bench-207-qwen3-ep-naive_symm-step_28-53     :ep=naive_symm @ qwen3-30b-a3b @ step_28-53              208            0.0          194.1          194.1          191.2          198.4               0.1
91      bench-207-qwen3-ep-naive_symm-step_28-53                                    :tr-backward              208            1.0          116.0          115.9          114.2          117.9               1.0
92      bench-207-qwen3-ep-naive_symm-step_28-53                                    :tr-optimize              208            1.0           11.6           11.6           11.5           11.7               0.0
93      bench-207-qwen3-ep-naive_symm-step_28-53                                     :tr-forward              208            1.0           65.7           65.6           64.2           68.2               0.7
94      bench-207-qwen3-ep-naive_symm-step_28-53                                        :tr-data              208            1.0            0.3            0.3            0.2            0.8               0.1
