Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:ep=local @ qwen3-30b-a3b @ step_52,PushPop,2230.7165,1922.7902,8,278.8396,278.8482,278.5119,279.1906,0.2245,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_29,PushPop,2229.9682,2231.1978,8,278.7460,278.7509,278.7081,278.7811,0.0253,16272,2034.0,0.0,12.0
:ep=local @ qwen3-30b-a3b @ step_30,PushPop,2229.5837,1921.6967,8,278.6980,278.7755,278.4499,278.8279,0.1545,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_38,PushPop,2228.3824,1920.5821,8,278.5478,278.6064,278.2397,278.7677,0.2056,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_33,PushPop,2224.0857,1916.3186,8,278.0107,278.0385,277.6290,278.1947,0.2026,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_46,PushPop,2219.8518,1911.9046,8,277.4815,277.5295,277.2007,277.8011,0.1988,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_39,PushPop,2218.5638,2219.6196,8,277.3205,277.3215,277.2857,277.3372,0.0158,16272,2034.0,0.0,12.0
:ep=local @ qwen3-30b-a3b @ step_48,PushPop,2218.5570,1910.6084,8,277.3196,277.3854,277.0215,277.5271,0.1988,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_51,PushPop,2218.2102,1910.4024,8,277.2763,277.3019,277.0388,277.4328,0.1446,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_45,PushPop,2215.1854,1907.2351,8,276.8982,276.9399,276.5198,277.2102,0.2321,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_35,PushPop,2214.7831,1907.0023,8,276.8479,276.9273,276.5445,277.0621,0.1987,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_34,PushPop,2210.3429,1902.2290,8,276.2929,276.3706,275.9382,276.4697,0.2020,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_40,PushPop,2204.2787,1896.0412,8,275.5348,275.5545,275.1947,275.7821,0.2193,16232,2029.0,0.0,7.0
:experts.fw,PushPop,8453.3078,73.4272,208,40.6409,40.5966,39.7396,41.8863,0.4320,2704,13.0,4.0,5.0
:combine.fw,PushPop,453.5715,11.1219,208,2.1806,2.1778,2.0980,2.2832,0.0401,416,2.0,4.0,2.0
:dispatch.fw,PushPop,261.6158,267.7275,208,1.2578,1.2486,1.1690,1.4749,0.0560,12272,59.0,4.0,9.0
:fw.MoE,PushPop,9390.0590,830.9663,208,45.1445,45.1420,44.1760,46.4502,0.4236,20592,99.0,3.0,19.0
:fw.Attn,PushPop,514.6434,204.9204,208,2.4742,2.4676,2.3560,2.6982,0.0378,5200,25.0,3.0,23.0
