Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,24118.8697,24206.7417,208,115.9561,115.9410,114.2038,117.8807,1.0132,416,2.0,1.0,2.0
:tr-forward,PushPop,13657.9793,11531.6599,208,65.6634,65.5830,64.1690,68.2340,0.6722,34112,164.0,1.0,3.0
:tr-optimize,PushPop,2409.1433,483.0287,208,11.5824,11.5745,11.5073,11.6741,0.0324,54912,264.0,1.0,1.0
:tr-data,PushPop,61.4697,132.0621,208,0.2955,0.2606,0.1936,0.7859,0.1175,1248,6.0,1.0,5.0
:ep=naive_symm @ qwen3-30b-a3b @ step_51,PushPop,1586.6216,1435.7215,8,198.3277,198.3536,198.1144,198.4018,0.0913,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_49,PushPop,1568.3798,1569.5256,8,196.0475,196.0715,195.8683,196.0986,0.0748,3552,444.0,0.0,12.0
:ep=naive_symm @ qwen3-30b-a3b @ step_41,PushPop,1563.1341,1409.4567,8,195.3918,195.3854,195.3432,195.4612,0.0430,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_37,PushPop,1562.0895,1407.6379,8,195.2612,195.2519,195.2108,195.3156,0.0405,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_38,PushPop,1561.6218,1409.6627,8,195.2027,195.1970,195.1395,195.2549,0.0406,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_28,PushPop,1560.4916,1411.8059,8,195.0614,195.0481,194.5555,195.3668,0.2762,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_50,PushPop,1560.3144,1408.6994,8,195.0393,195.0555,194.9379,195.0994,0.0509,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_47,PushPop,1559.0123,1403.5935,8,194.8765,194.8656,194.8400,194.9264,0.0327,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_46,PushPop,1558.8775,1405.0174,8,194.8597,194.8638,194.8025,194.8901,0.0287,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_42,PushPop,1558.3840,1404.4892,8,194.7980,194.7983,194.7573,194.8425,0.0301,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_36,PushPop,1557.9429,1405.1121,8,194.7429,194.7429,194.6804,194.7845,0.0341,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_32,PushPop,1554.0616,1400.0167,8,194.2577,194.2551,194.2301,194.3125,0.0256,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_29,PushPop,1553.3092,1554.5185,8,194.1637,194.1673,194.1112,194.2240,0.0392,3552,444.0,0.0,12.0
:ep=naive_symm @ qwen3-30b-a3b @ step_43,PushPop,1551.7047,1399.6468,8,193.9631,193.9791,193.8877,193.9977,0.0404,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_39,PushPop,1549.3937,1550.5276,8,193.6742,193.6869,193.5535,193.7308,0.0546,3552,444.0,0.0,12.0
:ep=naive_symm @ qwen3-30b-a3b @ step_44,PushPop,1548.8481,1396.0289,8,193.6060,193.6014,193.5326,193.6598,0.0424,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_35,PushPop,1547.8496,1394.2683,8,193.4812,193.4808,193.3795,193.5569,0.0512,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_45,PushPop,1547.0652,1396.8098,8,193.3832,193.3796,193.3314,193.4284,0.0325,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_48,PushPop,1546.9745,1396.1126,8,193.3718,193.3759,193.3200,193.4353,0.0432,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_52,PushPop,1544.8807,1391.7208,8,193.1101,193.1145,193.0602,193.1786,0.0370,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_33,PushPop,1543.7798,1392.5953,8,192.9725,192.9755,192.9153,193.0370,0.0371,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_30,PushPop,1541.5118,1386.1816,8,192.6890,192.6925,192.6403,192.7488,0.0423,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_34,PushPop,1540.9760,1389.5058,8,192.6220,192.6148,192.5841,192.6732,0.0321,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_40,PushPop,1540.8434,1390.1397,8,192.6054,192.6054,192.5585,192.6805,0.0348,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_31,PushPop,1537.7436,1383.7969,8,192.2180,192.2258,192.1682,192.2738,0.0334,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_53,PushPop,1529.9816,1376.6768,8,191.2477,191.2486,191.1878,191.2852,0.0312,3512,439.0,0.0,7.0
:combine.fw,PushPop,11426.5863,10015.9029,208,54.9355,54.9172,53.8864,57.0606,0.5660,2912,14.0,4.0,3.0
:experts.fw,PushPop,8985.8285,75.1311,208,43.2011,43.1636,41.0628,46.4428,0.7643,2704,13.0,4.0,5.0
:dispatch.fw,PushPop,1180.0802,596.6759,208,5.6735,5.6355,5.3526,6.3310,0.1947,15184,73.0,4.0,11.0
:bw.a2a_dispatch,PushPop,19389.0378,18388.3947,208,93.2165,93.2247,91.6026,94.7607,0.9811,2704,13.0,2.0,4.0
:fw.MoE,PushPop,12312.1608,11131.7538,208,59.1931,59.1497,57.9078,61.3507,0.6015,26000,125.0,3.0,19.0
:fw.a2a_combine,PushPop,10991.0799,9988.8859,208,52.8417,52.8226,51.7956,54.9722,0.5658,2496,12.0,6.0,4.0
:bw.a2a_combine,PushPop,5239.2350,4641.0239,208,25.1886,25.2151,24.4435,25.5127,0.1966,2704,13.0,2.0,4.0
