prof_name,Range,Range Instances,Avg Range Lvl,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms)
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:tr-optimize,208,1.0,2.3,2.3,2.3,2.4,0.0
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:tr-forward,208,1.0,64.3,64.2,63.5,67.5,0.5
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:tr-data,208,1.0,0.3,0.3,0.3,0.5,0.0
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:bw.a2a_combine,208,2.0,7.6,7.6,6.7,8.8,0.4
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:bw.a2a_dispatch,208,2.0,6.7,6.7,6.3,7.2,0.2
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:fw.MoE,208,3.0,37.2,37.2,36.5,40.9,0.5
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:fw.Attn,208,3.0,10.8,10.8,10.5,11.2,0.2
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:dispatch.fw,208,4.0,8.9,8.9,8.4,12.7,0.5
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:experts.fw,208,4.0,15.4,15.4,15.2,15.7,0.1
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:combine.fw,208,4.0,10.7,10.7,10.5,11.1,0.1
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:fw.a2a_dispatch,208,6.0,6.9,6.8,6.3,10.5,0.5
bench-109-olmoe-ep-zerocopy-symm-step_55-80,:fw.a2a_combine,208,6.0,6.5,6.5,6.2,6.8,0.1
bench-200-qwen3-dp-only-step_28-53,:ep=local @ qwen3-30b-a3b @ step_28-53,208,0.0,279.7,279.8,275.2,286.1,0.2
bench-200-qwen3-dp-only-step_28-53,:tr-backward,208,1.0,145.7,144.9,141.1,153.1,2.9
bench-200-qwen3-dp-only-step_28-53,:tr-forward,208,1.0,52.3,52.2,50.9,54.0,0.6
bench-200-qwen3-dp-only-step_28-53,:tr-optimize,208,1.0,80.8,80.9,80.2,81.2,0.2
bench-200-qwen3-dp-only-step_28-53,:tr-data,208,1.0,0.3,0.2,0.2,0.7,0.1
bench-200-qwen3-dp-only-step_28-53,:fw.MoE,208,3.0,45.1,45.1,44.2,46.5,0.4
bench-200-qwen3-dp-only-step_28-53,:fw.Attn,208,3.0,2.5,2.5,2.4,2.7,0.0
bench-200-qwen3-dp-only-step_28-53,:experts.fw,208,4.0,40.6,40.6,39.7,41.9,0.4
bench-200-qwen3-dp-only-step_28-53,:dispatch.fw,208,4.0,1.3,1.2,1.2,1.5,0.1
bench-200-qwen3-dp-only-step_28-53,:combine.fw,208,4.0,2.2,2.2,2.1,2.3,0.0
bench-205-qwen3-ep-host-nccl-step_28-53,:ep=host_nccl @ qwen3-30b-a3b @ step_28-53,208,0.0,198.0,198.0,194.2,201.0,0.1
bench-205-qwen3-ep-host-nccl-step_28-53,:tr-backward,208,1.0,120.5,120.5,117.7,122.6,0.9
bench-205-qwen3-ep-host-nccl-step_28-53,:tr-optimize,208,1.0,11.5,11.5,11.2,11.7,0.1
bench-205-qwen3-ep-host-nccl-step_28-53,:tr-forward,208,1.0,65.1,64.7,63.1,68.6,1.1
bench-205-qwen3-ep-host-nccl-step_28-53,:tr-data,208,1.0,0.3,0.3,0.2,0.8,0.1
bench-205-qwen3-ep-host-nccl-step_28-53,:bw.a2a_dispatch,208,2.0,4.4,4.3,2.8,6.7,0.9
bench-205-qwen3-ep-host-nccl-step_28-53,:bw.a2a_combine,208,2.0,4.1,4.0,2.9,5.8,0.7
bench-205-qwen3-ep-host-nccl-step_28-53,:fw.MoE,208,3.0,57.5,57.2,55.7,61.1,1.0
bench-205-qwen3-ep-host-nccl-step_28-53,:fw.Attn,208,3.0,2.8,2.8,2.4,3.3,0.1
bench-205-qwen3-ep-host-nccl-step_28-53,:dispatch.fw,208,4.0,7.0,7.0,6.1,8.4,0.4
bench-205-qwen3-ep-host-nccl-step_28-53,:experts.fw,208,4.0,42.2,42.1,41.0,46.6,0.7
bench-205-qwen3-ep-host-nccl-step_28-53,:combine.fw,208,4.0,7.3,7.1,5.7,11.1,1.0
bench-205-qwen3-ep-host-nccl-step_28-53,:fw.a2a_dispatch,208,6.0,3.9,3.9,3.2,4.6,0.3
bench-205-qwen3-ep-host-nccl-step_28-53,:fw.a2a_combine,208,6.0,4.3,4.1,2.7,8.2,1.0
bench-207-qwen3-ep-naive_symm-step_28-53,:ep=naive_symm @ qwen3-30b-a3b @ step_28-53,208,0.0,194.1,194.1,191.2,198.4,0.1
bench-207-qwen3-ep-naive_symm-step_28-53,:tr-backward,208,1.0,116.0,115.9,114.2,117.9,1.0
bench-207-qwen3-ep-naive_symm-step_28-53,:tr-optimize,208,1.0,11.6,11.6,11.5,11.7,0.0
bench-207-qwen3-ep-naive_symm-step_28-53,:tr-forward,208,1.0,65.7,65.6,64.2,68.2,0.7
bench-207-qwen3-ep-naive_symm-step_28-53,:tr-data,208,1.0,0.3,0.3,0.2,0.8,0.1
bench-207-qwen3-ep-naive_symm-step_28-53,:bw.a2a_dispatch,208,2.0,93.2,93.2,91.6,94.8,1.0
bench-207-qwen3-ep-naive_symm-step_28-53,:bw.a2a_combine,208,2.0,25.2,25.2,24.4,25.5,0.2
bench-207-qwen3-ep-naive_symm-step_28-53,:fw.Attn,208,3.0,2.3,2.3,2.3,2.5,0.0
bench-207-qwen3-ep-naive_symm-step_28-53,:fw.MoE,208,3.0,59.2,59.1,57.9,61.4,0.6
bench-207-qwen3-ep-naive_symm-step_28-53,:dispatch.fw,208,4.0,5.7,5.6,5.4,6.3,0.2
bench-207-qwen3-ep-naive_symm-step_28-53,:combine.fw,208,4.0,54.9,54.9,53.9,57.1,0.6
bench-207-qwen3-ep-naive_symm-step_28-53,:experts.fw,208,4.0,43.2,43.2,41.1,46.4,0.8
bench-207-qwen3-ep-naive_symm-step_28-53,:fw.a2a_dispatch,208,6.0,4.3,4.3,4.1,5.0,0.2
bench-207-qwen3-ep-naive_symm-step_28-53,:fw.a2a_combine,208,6.0,52.8,52.8,51.8,55.0,0.6
bench-208-qwen3-ep-pooled-symm-step_28-53,:ep=pooled_symm @ qwen3-30b-a3b @ step_28-53,208,0.0,194.0,194.0,191.8,198.0,0.0
bench-208-qwen3-ep-pooled-symm-step_28-53,:tr-backward,208,1.0,116.0,115.8,114.1,118.3,1.0
bench-208-qwen3-ep-pooled-symm-step_28-53,:tr-optimize,208,1.0,11.6,11.6,11.5,11.6,0.0
bench-208-qwen3-ep-pooled-symm-step_28-53,:tr-forward,208,1.0,65.6,65.5,64.3,68.2,0.6
bench-208-qwen3-ep-pooled-symm-step_28-53,:tr-data,208,1.0,0.3,0.3,0.2,0.9,0.1
bench-208-qwen3-ep-pooled-symm-step_28-53,:bw.a2a_dispatch,208,2.0,9.4,9.3,6.7,13.9,1.7
bench-208-qwen3-ep-pooled-symm-step_28-53,:bw.a2a_combine,208,2.0,4.1,4.1,4.0,4.3,0.1
bench-208-qwen3-ep-pooled-symm-step_28-53,:fw.MoE,208,3.0,59.1,59.0,58.1,59.9,0.4
bench-208-qwen3-ep-pooled-symm-step_28-53,:fw.Attn,208,3.0,2.4,2.4,2.3,2.5,0.0
bench-208-qwen3-ep-pooled-symm-step_28-53,:dispatch.fw,208,4.0,5.8,5.7,5.2,6.5,0.3
bench-208-qwen3-ep-pooled-symm-step_28-53,:experts.fw,208,4.0,43.1,43.1,41.4,45.2,0.7
bench-208-qwen3-ep-pooled-symm-step_28-53,:combine.fw,208,4.0,9.2,9.2,8.1,11.5,0.8
bench-208-qwen3-ep-pooled-symm-step_28-53,:fw.a2a_dispatch,208,6.0,4.5,4.5,4.0,5.2,0.3
bench-208-qwen3-ep-pooled-symm-step_28-53,:fw.a2a_combine,208,6.0,7.1,7.1,6.0,9.4,0.8
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:ep=zerocopy_symm @ qwen3-30b-a3b @ step_28-53,208,0.0,190.7,190.7,188.6,193.1,0.0
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:tr-backward,208,1.0,114.4,114.1,112.7,117.1,1.1
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:tr-optimize,208,1.0,11.6,11.6,11.5,11.7,0.0
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:tr-forward,208,1.0,63.8,63.8,62.7,66.1,0.6
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:tr-data,208,1.0,0.3,0.3,0.2,0.8,0.1
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:bw.a2a_dispatch,208,2.0,8.5,8.5,5.5,13.2,1.7
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:bw.a2a_combine,208,2.0,3.4,3.4,3.3,3.7,0.1
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:fw.MoE,208,3.0,57.4,57.4,56.3,59.3,0.5
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:fw.Attn,208,3.0,2.4,2.4,2.3,2.5,0.0
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:dispatch.fw,208,4.0,5.0,5.0,4.6,6.4,0.3
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:experts.fw,208,4.0,43.1,43.1,41.2,44.8,0.7
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:combine.fw,208,4.0,8.3,8.2,7.2,10.5,0.8
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:fw.a2a_dispatch,208,6.0,3.7,3.7,3.3,5.1,0.3
bench-209-qwen3-ep-zerocopy-symm-step_28-53,:fw.a2a_combine,208,6.0,6.2,6.1,5.1,8.4,0.8
