Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_46,PushPop,1527.8883,1369.6553,8,190.9860,190.9882,190.9266,191.0298,0.0325,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_32,PushPop,1526.7912,1368.7498,8,190.8489,190.8499,190.8136,190.8784,0.0256,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_36,PushPop,1525.0714,1369.3438,8,190.6339,190.6567,190.4606,190.6818,0.0719,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_41,PushPop,1524.1452,1369.3347,8,190.5181,190.5220,190.4883,190.5422,0.0184,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_47,PushPop,1523.7651,1369.2914,8,190.4706,190.4771,190.3857,190.5324,0.0419,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_50,PushPop,1522.5834,1363.6891,8,190.3229,190.3211,190.2681,190.3597,0.0309,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_45,PushPop,1522.1988,1361.8869,8,190.2749,190.2826,190.2173,190.2999,0.0256,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_35,PushPop,1520.7719,1360.7283,8,190.0965,190.0883,190.0644,190.1419,0.0273,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_38,PushPop,1519.7972,1362.5359,8,189.9746,189.9797,189.8884,190.0295,0.0403,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_29,PushPop,1519.5391,1520.5522,8,189.9424,189.9460,189.9027,189.9592,0.0176,3424,428.0,0.0,12.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_48,PushPop,1518.7844,1358.5832,8,189.8481,189.8473,189.8154,189.8752,0.0247,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_34,PushPop,1518.4501,1360.0985,8,189.8063,189.8088,189.7775,189.8264,0.0197,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_31,PushPop,1518.1650,1358.0951,8,189.7706,189.7773,189.7138,189.8007,0.0273,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_33,PushPop,1516.3491,1356.1746,8,189.5436,189.5537,189.4544,189.5903,0.0443,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_53,PushPop,1510.7429,1352.2247,8,188.8429,188.8476,188.8139,188.8590,0.0156,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_49,PushPop,1509.2526,1510.2072,8,188.6566,188.6548,188.6353,188.6912,0.0193,3424,428.0,0.0,12.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_44,PushPop,1508.6340,1348.8003,8,188.5793,188.5836,188.5601,188.5962,0.0131,3384,423.0,0.0,7.0
:experts.fw,PushPop,8965.3074,75.4985,208,43.1024,43.0830,41.2417,44.8317,0.6997,2704,13.0,4.0,5.0
:combine.fw,PushPop,1717.7579,9791.3440,208,8.2585,8.2338,7.1841,10.5325,0.7584,1248,6.0,4.0,3.0
:dispatch.fw,PushPop,1044.2195,436.6558,208,5.0203,4.9547,4.5538,6.4371,0.3094,13520,65.0,4.0,11.0
:fw.MoE,PushPop,11946.7062,10735.5928,208,57.4361,57.4145,56.3424,59.3069,0.5045,22672,109.0,3.0,19.0
:bw.a2a_dispatch,PushPop,1762.7850,18172.0450,208,8.4749,8.4637,5.5388,13.2180,1.6945,1040,5.0,2.0,3.0
:fw.a2a_combine,PushPop,1282.4420,9764.8985,208,6.1656,6.1401,5.0960,8.4405,0.7583,832,4.0,6.0,2.0
:fw.a2a_dispatch,PushPop,774.5730,141.7391,208,3.7239,3.6537,3.2874,5.0932,0.3143,1040,5.0,6.0,3.0
:bw.a2a_combine,PushPop,712.3329,4562.6763,208,3.4247,3.4224,3.2543,3.7221,0.0873,1040,5.0,2.0,3.0
:fw.Attn,PushPop,489.7711,201.4226,208,2.3547,2.3532,2.2943,2.5035,0.0320,5200,25.0,3.0,23.0
