Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:ep=local @ olmoe-1b-7b @ step_68,PushPop,1258.8199,179.0825,8,157.3525,157.3699,157.2244,157.4351,0.0698,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_74,PushPop,1258.2693,181.5192,8,157.2837,157.2919,157.1838,157.3146,0.0431,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_63,PushPop,1258.2361,179.3453,8,157.2795,157.3051,157.1226,157.3318,0.0713,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_66,PushPop,1257.7048,179.9462,8,157.2131,157.2199,157.1570,157.2369,0.0257,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_75,PushPop,1257.6270,181.0610,8,157.2034,157.2240,157.0088,157.2777,0.0854,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_56,PushPop,1257.2319,178.8274,8,157.1540,157.1862,156.8911,157.3328,0.1586,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_67,PushPop,1255.2856,178.6483,8,156.9107,156.9122,156.8617,156.9500,0.0300,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_80,PushPop,1254.1916,176.1607,8,156.7740,156.7791,156.7187,156.8106,0.0315,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_71,PushPop,1253.9769,179.4306,8,156.7471,156.7549,156.6754,156.8028,0.0384,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_60,PushPop,1252.7623,177.1208,8,156.5953,156.6011,156.5622,156.6393,0.0263,2664,333.0,0.0,7.0
:experts.fw,PushPop,2856.4457,61.4007,208,13.7329,13.7416,13.4625,13.9697,0.0996,1456,7.0,4.0,5.0
:combine.fw,PushPop,885.9514,10.4384,208,4.2594,4.2591,4.2164,4.3106,0.0145,416,2.0,4.0,2.0
:dispatch.fw,PushPop,421.3598,427.4769,208,2.0258,2.0130,1.9566,2.2750,0.0583,12272,59.0,4.0,9.0
:fw.MoE,PushPop,4601.6414,2844.7197,208,22.1233,22.0991,21.8551,22.7719,0.1435,19344,93.0,3.0,19.0
:fw.Attn,PushPop,2249.8214,181.5011,208,10.8164,10.8187,10.5516,11.1203,0.0992,4784,23.0,3.0,21.0
